BARNAVNE;Latitude;Longitude
Theos Bar;56.172121;10.205478
KOMMAbar;56.173026;10.206673
FRED;56.172825;10.206224
FredagsBar.dk;56.171185;10.192404
Symposion/KLUD bar;56.171981;10.205599
Pod Stolom;56.170298;10.205087
Penta Rei;56.173082;10.203552
Den Stive Buddha;56.16814;10.203012
Esperanto;56.172917;10.205651
Kasernebaren;56.167036;10.196381
Barbaren;56.085386;10.219867
ARABAR;56.172891;10.204381
Eforen;56.168936;10.199262
Studenterbaren;56.171486;10.20043
Studentercaféen;56.171301;10.200321
Stakladen;56.17156;10.199638
Klubben;56.162238;10.182448
Klub.Ling;56.172667;10.205624
Økonomisk Forening;56.162239;10.182447
Samfundsfaglig Fredagsbar;56.162239;10.182447
Umbilicius;56.168231;10.201873
Siffos;56.16774;10.201983
Apollonia;56.164237;10.206041
Kalkulerbar;56.166452;10.198698
Fysisk Fredagsbar;56.167447;10.198571
Fredagscaféen;56.17163;10.189882
Alkymia Kemisk Fredagsbar;56.16818;10.199418
Biologisk Fredagsbar;56.166702;10.203111
Katrines Kælder;56.171988;10.191489
Nanorama;56.168762;10.196933
TÅGEKAMMERET;56.166478;10.20003
Die Rote Zone;56.167783;10.200937
Dyrkbar;56.172883;10.191502
;;
;;
;;
;;
;;
;;
